"Sky Reference Number - Outlet","Marketing tag"
"100603300004","PPV Froch Targets - Silo1"
"100616200004","PPV Froch Targets - Silo1"
"100616300004","PPV Froch Targets - Silo1"
"100616700004","PPV Froch Targets - Silo1"
"100618500004","PPV Froch Targets - Silo1"
"100620100004","PPV Froch Targets - Silo1"
"100620500004","PPV Froch Targets - Silo1"
"100620700004","PPV Froch Targets - Silo1"
"100623000004","PPV Froch Targets - Silo1"
"100624700004","PPV Froch Targets - Silo1"
"100625100004","PPV Froch Targets - Silo1"
"100626300004","PPV Froch Targets - Silo1"
"100626500004","PPV Froch Targets - Silo1"
"100635000004","PPV Froch Targets - Silo1"
"100635300004","PPV Froch Targets - Silo1"
"100637800004","PPV Froch Targets - Silo1"
"100640000004","PPV Froch Targets - Silo1"
"100642100004","PPV Froch Targets - Silo1"
"100649000004","PPV Froch Targets - Silo1"
"100652400004","PPV Froch Targets - Silo1"
"100659300004","PPV Froch Targets - Silo1"
"100660400004","PPV Froch Targets - Silo1"
"100661900004","PPV Froch Targets - Silo1"
"100666100004","PPV Froch Targets - Silo1"
"100671700004","PPV Froch Targets - Silo1"
"100672200004","PPV Froch Targets - Silo1"
"100676600004","PPV Froch Targets - Silo1"
"100682200004","PPV Froch Targets - Silo1"
"100688600004","PPV Froch Targets - Silo1"
"100689100004","PPV Froch Targets - Silo1"
"100698400004","PPV Froch Targets - Silo1"
"100706700004","PPV Froch Targets - Silo1"
"100709100004","PPV Froch Targets - Silo1"
"100716100004","PPV Froch Targets - Silo1"
"100717100004","PPV Froch Targets - Silo1"
"100723000004","PPV Froch Targets - Silo1"
"100732800004","PPV Froch Targets - Silo1"
"100741500004","PPV Froch Targets - Silo1"
"100749500004","PPV Froch Targets - Silo1"
"100751600004","PPV Froch Targets - Silo1"
"100755100004","PPV Froch Targets - Silo1"
"100758100004","PPV Froch Targets - Silo1"
"100767900004","PPV Froch Targets - Silo1"
"100768600004","PPV Froch Targets - Silo1"
"100776900004","PPV Froch Targets - Silo1"
"100779600004","PPV Froch Targets - Silo1"
"100790800004","PPV Froch Targets - Silo1"
"100794300004","PPV Froch Targets - Silo1"
"100803500004","PPV Froch Targets - Silo1"
"100809100004","PPV Froch Targets - Silo1"
"100816500004","PPV Froch Targets - Silo1"
"100820500004","PPV Froch Targets - Silo1"
"100821900004","PPV Froch Targets - Silo1"
"100830700004","PPV Froch Targets - Silo1"
"100835300004","PPV Froch Targets - Silo1"
"100836700004","PPV Froch Targets - Silo1"
"100839000004","PPV Froch Targets - Silo1"
"100842000004","PPV Froch Targets - Silo1"
"100847300004","PPV Froch Targets - Silo1"
"100847700004","PPV Froch Targets - Silo1"
"100848500004","PPV Froch Targets - Silo1"
"100852900004","PPV Froch Targets - Silo1"
"100854800004","PPV Froch Targets - Silo1"
"100855700004","PPV Froch Targets - Silo1"
"100877000004","PPV Froch Targets - Silo1"
"100877700004","PPV Froch Targets - Silo1"
"100896600004","PPV Froch Targets - Silo1"
"100901000004","PPV Froch Targets - Silo1"
"100921600004","PPV Froch Targets - Silo1"
"100928100004","PPV Froch Targets - Silo1"
"100930600004","PPV Froch Targets - Silo1"
"100951500004","PPV Froch Targets - Silo1"
"100961500004","PPV Froch Targets - Silo1"
"100963900004","PPV Froch Targets - Silo1"
"100983500004","PPV Froch Targets - Silo1"
"101002900004","PPV Froch Targets - Silo1"
"101003800004","PPV Froch Targets - Silo1"
"101016400004","PPV Froch Targets - Silo1"
"101023200004","PPV Froch Targets - Silo1"
"101033900004","PPV Froch Targets - Silo1"
"101036700004","PPV Froch Targets - Silo1"
"101045000004","PPV Froch Targets - Silo1"
"101051200004","PPV Froch Targets - Silo1"
"101059700004","PPV Froch Targets - Silo1"
"101068700004","PPV Froch Targets - Silo1"
"101069800004","PPV Froch Targets - Silo1"
"101076800004","PPV Froch Targets - Silo1"
"101081900004","PPV Froch Targets - Silo1"
"101092800004","PPV Froch Targets - Silo1"
"101101800004","PPV Froch Targets - Silo1"
"101109800004","PPV Froch Targets - Silo1"
"101111800004","PPV Froch Targets - Silo1"
"101116900004","PPV Froch Targets - Silo1"
"101118900004","PPV Froch Targets - Silo1"
"101120400004","PPV Froch Targets - Silo1"
"101122200004","PPV Froch Targets - Silo1"
"101123600004","PPV Froch Targets - Silo1"
"101127200004","PPV Froch Targets - Silo1"
"101129500004","PPV Froch Targets - Silo1"
"101131200004","PPV Froch Targets - Silo1"
"101143800004","PPV Froch Targets - Silo1"
"101150400004","PPV Froch Targets - Silo1"
"101153200004","PPV Froch Targets - Silo1"
"101153300004","PPV Froch Targets - Silo1"
"101155200004","PPV Froch Targets - Silo1"
"101158700004","PPV Froch Targets - Silo1"
"101161400004","PPV Froch Targets - Silo1"
"101165300004","PPV Froch Targets - Silo1"
"101169300004","PPV Froch Targets - Silo1"
"101170000004","PPV Froch Targets - Silo1"
"101170200004","PPV Froch Targets - Silo1"
"101171500004","PPV Froch Targets - Silo1"
"101172100004","PPV Froch Targets - Silo1"
"101175300004","PPV Froch Targets - Silo1"
"101177400004","PPV Froch Targets - Silo1"
"101177700004","PPV Froch Targets - Silo1"
"101179200004","PPV Froch Targets - Silo1"
"101181600004","PPV Froch Targets - Silo1"
"101182000004","PPV Froch Targets - Silo1"
"101183400004","PPV Froch Targets - Silo1"
"101185300004","PPV Froch Targets - Silo1"
"101187700004","PPV Froch Targets - Silo1"
"101194300004","PPV Froch Targets - Silo1"
"101201900004","PPV Froch Targets - Silo1"
"101204200004","PPV Froch Targets - Silo1"
"101209000004","PPV Froch Targets - Silo1"
"101222300004","PPV Froch Targets - Silo1"
"101222400004","PPV Froch Targets - Silo1"
"101223500004","PPV Froch Targets - Silo1"
"101223600004","PPV Froch Targets - Silo1"
"101232800004","PPV Froch Targets - Silo1"
"101234400004","PPV Froch Targets - Silo1"
"101236100004","PPV Froch Targets - Silo1"
"101239000004","PPV Froch Targets - Silo1"
"101239600004","PPV Froch Targets - Silo1"
"101240500004","PPV Froch Targets - Silo1"
"101240600004","PPV Froch Targets - Silo1"
"101241100004","PPV Froch Targets - Silo1"
"101243700004","PPV Froch Targets - Silo1"
"101244400004","PPV Froch Targets - Silo1"
"101246700004","PPV Froch Targets - Silo1"
"101246800004","PPV Froch Targets - Silo1"
"101250300004","PPV Froch Targets - Silo1"
"101252600004","PPV Froch Targets - Silo1"
"101262700004","PPV Froch Targets - Silo1"
"101263500004","PPV Froch Targets - Silo1"
"101264200004","PPV Froch Targets - Silo1"
"101264900004","PPV Froch Targets - Silo1"
"101265000004","PPV Froch Targets - Silo1"
"101266100004","PPV Froch Targets - Silo1"
"101266300004","PPV Froch Targets - Silo1"
"101309600004","PPV Froch Targets - Silo1"
"101311300004","PPV Froch Targets - Silo1"
"101315700004","PPV Froch Targets - Silo1"
"101316400004","PPV Froch Targets - Silo1"
"101323700004","PPV Froch Targets - Silo1"
"101325400004","PPV Froch Targets - Silo1"
"101332700004","PPV Froch Targets - Silo1"
"101333900004","PPV Froch Targets - Silo1"
"101355800004","PPV Froch Targets - Silo1"
"101369400004","PPV Froch Targets - Silo1"
