Sky Reference Number - Outlet,Total Weighting,Territory Code,,,,,,
184204400004,75,39,,,,,,
184204800004,75,39,,,,,,
184288100004,75,39,,,,,,
184292300004,75,39,,,,,,
185033500004,75,39,,,,,,
185136000004,75,39,,,,,,
185239900004,75,39,,,,,,
185961900004,75,39,,,,,,
100969700004,47,39,,,,,,
101716400004,47,39,,,,,,
102043200004,47,39,,,,,,
103139300004,47,39,,,,,,
128042800004,47,39,,,,,,
128384500004,47,39,,,,,,
134168100004,47,39,,,,,,
135842000004,47,39,,,,,,
142291400004,47,39,,,,,,
108855800004,42,39,,,,,,
110127200004,42,39,,,,,,
110128500004,42,39,,,,,,
112481100004,42,39,,,,,,
119209100004,42,39,,,,,,
123483100004,42,39,,,,,,
124241100004,42,39,,,,,,
129375100004,42,39,,,,,,
138571100004,42,39,,,,,,
142711400004,42,39,,,,,,
100013300012,40,39,,,,,,
100042600027,40,39,,,,,,
100873200004,40,39,,,,,,
101751800004,40,39,,,,,,
103545500004,40,39,,,,,,
103949200004,40,39,,,,,,
105929500004,40,39,,,,,,
106602500004,40,39,,,,,,
109126000004,40,39,,,,,,
111399700004,40,39,,,,,,
112846700004,40,39,,,,,,
117124400004,40,39,,,,,,
117157900004,40,39,,,,,,
117299300004,40,39,,,,,,
118058100004,40,39,,,,,,
118650900004,40,39,,,,,,
118855900004,40,39,,,,,,
122585800004,40,39,,,,,,
124306600004,40,39,,,,,,
127752700004,40,39,,,,,,
132776100004,40,39,,,,,,
133006400004,40,39,,,,,,
133328400004,40,39,,,,,,
135616000004,40,39,,,,,,
135841500004,40,39,,,,,,
137630900004,40,39,,,,,,
139846800004,40,39,,,,,,
140225000004,40,39,,,,,,
142291600004,40,39,,,,,,
100122200004,37,39,,,,,,
100252500004,37,39,,,,,,
102557100004,37,39,,,,,,
102793400004,37,39,,,,,,
104568200004,37,39,,,,,,
105358200004,37,39,,,,,,
106509500004,37,39,,,,,,
107192500004,37,39,,,,,,
107530400004,37,39,,,,,,
110530400004,37,39,,,,,,
110961900004,37,39,,,,,,
111538800004,37,39,,,,,,
113766300004,37,39,,,,,,
113813000004,37,39,,,,,,
