Sky Ref Number,Weighting Value,Territory
141948500004,10006,5
142200200004,75,5
133735100004,10005,5
121818200004,10005,5
131667700004,10005,5
109307800004,10005,5
127981200004,10006,5
183782200004,9998,5
182027600004,9998,5
103264100004,10007,5
125963600004,60,5
182208100004,10007,5
123915500004,5,5
122653400004,5,5
105120000004,10006,5
129526900004,10006,5
133422100004,10005,5
137319400004,20,5
183145500004,75,5
102328000004,25,5
134191200004,75,5
106800300004,10006,5
111530000004,10006,5
115155500004,60,5
105336600004,5,5
117465100004,9999,5
112114100004,10005,5
125042000004,10005,5
113792000004,5,5
184243900049,10006,5
100197400004,20,5
117377400004,60,5
105545400004,10006,5
139958800004,10006,5
185603500004,10006,5
109595300004,10006,5
110990700004,10006,5
128036900004,10006,5
130608300004,40,5
103157100004,10006,5
140209300004,10006,5
112912900004,10006,5
105260500004,10007,5
132569300004,75,5
104032600004,10007,5
136091200004,9999,5
124655400004,20,5
131656200004,15,5
104633800004,10006,5
134877700004,30,5
180802700004,35,5
128314600004,10005,5
114976600004,40,5
100464900004,30,5
184601200004,10005,5
102927900004,15,5
109703700004,10006,5
131459000004,60,5
107919400004,30,5
114601600004,10006,5
184489200004,9999,5
106320300004,75,5
116456800004,75,5
105774700004,75,5
118444000004,10005,5
131456400004,40,5
140107000004,20,5
115568100004,10006,5
125861500004,30,5
101357700004,75,5
121814000004,35,5
115789600004,20,5
182989700004,60,5
102279900004,10005,5
186527500004,9998,5
141753900004,40,5
101792400004,10005,5
184243900014,10006,5
100340600004,35,5
104254000004,10006,5
184918400004,10006,5
137007600004,40,5
100966400004,75,5
102194900004,65,5
142636600004,40,5
112755100004,30,5
104688800004,10006,5
104954600004,10005,5
103122700004,60,5
126090300004,10006,5
101121100004,40,5
105578900004,10006,5
103150100004,40,5
120291700004,15,5
124962700004,10005,5
125353000004,40,5
102623900004,10007,5
136700800004,98,5
133335200004,40,5
112262400004,10006,5
135971600004,40,5
110973500004,40,5
105676100004,10006,5
103497600004,10005,5
184683700004,10004,5
127090300004,30,5
104391300004,40,5
133774800004,40,5
185245700004,10006,5
135772100004,10006,5
136673200004,65,5
184243900038,10006,5
142529000004,98,5
119058800004,10006,5
126971100004,60,5
101845300004,20,5
185920800004,10006,5
121698900004,60,5
114522700004,15,5
114912900004,40,5
101247700004,9999,5
137816900004,60,5
110600000004,20,5
115346900004,98,5
101214600004,20,5
126254200004,70,5
121288200004,10005,5
121835500004,40,5
123783700004,60,5
105331000004,75,5
131117100004,10005,5
136612900004,10006,5
140533800004,10007,5
140012000004,60,5
182191100004,15,5
133176100004,10005,5
119397800004,40,5
112098700004,10006,5
124941800004,10006,5
115770800004,40,5
125744900004,10006,5
115991600004,10006,5
133512400004,5,5
109566700004,40,5
118410900004,5,5
185956700004,10004,5
102979500004,10006,5
134069900004,65,5
181628100004,30,5
136788400004,75,5
111251300004,35,5
132129900004,15,5
115759200004,60,5
122693900004,60,5
107715900004,5,5
125353400004,40,5
126814000004,40,5
135041000004,65,5
104345000004,10006,5
138610000004,15,5
116193000004,10006,5
116213400004,10006,5
142117500004,40,5
102970800004,75,5
101717400004,10007,5
184837000004,70,5
104498500004,40,5
106257600004,10005,5
104508000004,75,5
183836900004,75,5
100390300004,20,5
113850600004,10005,5
125069000004,60,5
134717400004,60,5
101917600004,10005,5
128547100004,10006,5
122098100004,10005,5
182487700004,15,5
100898900004,45,5
115570000004,9998,5
123705900004,40,5
126005100004,5,5
123684200004,10006,5
115756000004,60,5
125670600004,40,5
122740900004,40,5
128028400004,40,5
123140300004,40,5
118549600004,40,5
100166000004,10006,5
109090000004,20,5
131872800004,75,5
125245000004,20,5
183859400004,10,5
133691600004,10006,5
129136500004,10006,5
120930300004,10006,5
183860700004,75,5
137315800004,40,5
185576100004,90,5
138635700004,30,5
133170800004,10005,5
116745000004,10,5
135553100004,10006,5
139216600004,60,5
124333700004,10005,5
101279000004,10007,5
185258800004,60,5
185969800004,9998,5
134070400004,75,5
142074500004,75,5
135125500004,75,5
104338600004,60,5
102268300004,70,5
180387400004,75,5
181539400004,65,5
181622000004,60,5
181624600004,0,5
181794400004,10005,5
183584200004,30,5
183584100004,30,5
182428400004,10,5
182438900004,10006,5
183341900004,10,5
183712700004,10005,5
183975800004,35,5
184150700004,5,5
184252900004,60,5
186019500004,30,5
184296700004,10006,5
100766400004,40,5
184618100004,10006,5
184623400004,65,5
184639900004,10005,5
184740000004,10006,5
184998200004,60,5
185048100004,15,5
185169700004,9999,5
185307200004,10005,5
185497800004,10005,5
185621000004,10005,5
185629000004,20,5
185630800004,60,5
185642500004,40,5
185807800004,10005,5
186088300004,15,5
186251400004,9999,5
186253700004,60,5
103976800004,98,6
115192100004,40,6
115566100004,45,6
105510100004,98,6
110506400004,60,6
104288200004,40,6
139328900004,65,6
115947400004,40,6
186492200004,9998,6
113949000004,60,6
101857500004,98,6
184388800004,60,6
125471900004,65,6
126324300004,75,6
101016600004,60,6
104301200004,70,6
136789400004,60,6
101982600004,40,6
104974700004,40,6
105741500004,75,6
104947400004,40,6
111232400004,75,6
184371600004,65,6
100991800004,75,6
101506600004,60,6
183062700004,9998,6
103979000004,40,6
142200500004,50,6
105209600004,55,6
101608900004,75,6
116239200004,40,6
116151200004,40,6
121194800004,60,6
123480000004,75,6
111877800004,55,6
184890400004,60,6
123900600004,65,6
185514100004,98,6
134775800004,60,6
100479100004,40,6
140355100004,60,6
126923700004,60,6
142667800004,60,6
129332400004,60,6
183723300004,75,6
107267600004,45,6
125222600004,75,6
117409700004,60,6
106646400004,98,6
116241500004,40,6
109749100004,40,6
141741400004,75,6
118335700004,60,6
115884700004,40,6
133015200004,60,6
131384400004,65,6
114643200004,40,6
102336300004,40,6
136803700004,45,6
114061200004,75,6
134294200004,60,6
136607100004,60,6
127237400004,60,6
142357300004,75,6
186575900004,75,6
109443900004,75,6
135954900004,45,6
107268000004,40,6
115698300004,75,6
107571100004,75,6
125369700004,60,6
125158900004,60,6
117439100004,45,6
131023500004,45,6
184310500004,9998,6
112186300004,45,6
110709500004,40,6
142321000004,60,6
107197000004,40,6
117271100004,75,6
114596200004,40,6
116026900004,98,6
114131600004,65,6
114595000004,40,6
122318100004,60,6
104594300004,75,6
115987000004,60,6
132929100004,70,6
113765400004,40,6
135995300004,60,6
111877500004,75,6
139818000004,75,6
109990600004,40,6
118938800004,65,6
113804400004,40,6
100170900004,40,6
104972300004,70,6
101724200004,55,6
103613100004,70,6
101157400004,75,6
121596600004,55,6
104385100004,40,6
103695700004,40,6
114203800004,40,6
183546200004,75,6
185324300004,75,6
141418200004,75,6
184371500004,60,6
102634900004,70,6
100229500004,65,6
101690300004,60,6
132690300004,45,6
101640100004,75,6
117494500004,75,6
103601700004,60,6
110549800004,40,6
180665500004,65,6
135871300004,45,6
131899300004,75,6
123013300004,60,6
100686100004,60,6
110411800004,40,6
104407100004,75,6
111178100004,40,6
106122600004,75,6
109449500004,40,6
104606200004,60,6
137895100004,45,6
126605300004,60,6
102684900004,40,6
126643500004,60,6
104703900004,60,6
106941000004,75,6
105870300004,75,6
182085600004,9999,6
100584500004,70,6
112091200004,50,6
107554500004,60,6
124551900004,70,6
117863000004,45,6
111897300004,60,6
181981700004,65,6
136181000004,75,6
138617700004,60,6
133519400004,80,6
184326900004,75,6
115720500004,40,6
102707600004,75,6
140960300004,45,6
123209500004,60,6
185788600004,80,6
122482200004,98,6
116038800004,40,6
142075100004,75,6
111019500004,45,6
101554300004,75,6
110367500004,60,6
110828800004,40,6
183035100004,98,6
114242100004,60,6
112798000004,60,6
125184000004,60,6
114060700004,75,6
185895500004,75,6
112276100004,40,6
112724600004,40,6
113179900004,40,6
107323200004,98,6
101898000004,40,6
142657100004,60,6
122506100004,60,6
131752600004,75,6
102822100004,60,6
130105900004,75,6
135199300004,60,6
113369200004,40,6
105658200004,40,6
102154300004,75,6
125125200004,60,6
117854200004,65,6
110424000004,40,6
114965900004,45,6
115697900004,40,6
136342200004,50,6
112725000004,60,6
